0,1,0
war,combat,0.5604502978519752
war,target,0.5054025692700704
war,defend,0.5680799521118248
war,covid19,0.4784725508003388
battleground,silver,0.4915355395604148
battleground,dryer,0.48650567907512793
battleground,militar,0.5136656164859665
battleground,militarili,0.5253955067601055
battleground,defenc,0.47426165655538766
battleground,defens,0.4931802891685789
battleground,combat,0.5291018092260777
battleground,target,0.5287012669217327
battleground,defend,0.5153960834216812
battleground,covid19,0.4872243510275755
silver,dryer,0.5437957461087158
silver,militar,0.4918656482180442
silver,militarili,0.4882606538012624
silver,defenc,0.5479916980570684
silver,defens,0.5658211154111016
silver,combat,0.4896067685868519
silver,target,0.5165863782480861
silver,defend,0.48554311244963455
silver,covid19,0.48127221050134933
dryer,militar,0.5018047872754569
dryer,militarili,0.47085363569203764
dryer,defenc,0.5191578069111196
dryer,defens,0.5323678610630606
dryer,combat,0.47789427041780297
dryer,target,0.49972611755166746
dryer,defend,0.4634965687902167
dryer,covid19,0.5036043938669581
militar,militarili,0.5412561114877462
militar,defenc,0.5451115505432987
militar,defens,0.5426214345956241
militar,combat,0.5303894963581115
militar,target,0.5677622818942876
militar,defend,0.5627547990520821
militar,covid19,0.49121347690704575
militarili,defenc,0.5416032616980374
militarili,defens,0.5240775707643479
militarili,combat,0.5055083317100071
militarili,target,0.5228876368142664
militarili,defend,0.5427938867127523
militarili,covid19,0.4696652474696748
defenc,defens,0.6344285877152848
defenc,combat,0.5507926029587487
defenc,target,0.5322051977049201
defenc,defend,0.5478963581218312
defenc,covid19,0.47723617587493766
defens,combat,0.5724855458471351
defens,target,0.5414568475814752
defens,defend,0.5779348063470724
defens,covid19,0.47091951066305715
combat,target,0.5399017820667583
combat,defend,0.5391202646401675
combat,covid19,0.42910244593020674
target,defend,0.5391752411568842
target,covid19,0.5027621907961125
defend,covid19,0.4460363212498263
